SKU;model;brand;product;description;long_description;width;width_unit;depth;depth_unit;height;height_unit;weight;weight_unit;price;sale_price;currency;stock;stock_status;category;tags;EAN;tax_class;shipping_class;product_type;parent_SKU;attribute_1_name;attribute_1_value;attribute_2_name;attribute_2_value;attribute_3_name;attribute_3_value;attribute_4_name;attribute_4_value;attribute_5_name;attribute_5_value;attribute_6_name;attribute_6_value;status;video_url;image;image_2;image_3;datasheet_url;manual_url;technicalmanual_url;drawing_url;catalogue_url;photo_url;card_url;brandcatalogue_url;price_url
CKNFMCCG6GGDUPLEX;CG6GGDUPLEX;FIAMMA CATERING;CONTACT GRILL;CONTACT GRILL ELECTRIC - DUPLEX, GROOVED LOWER AND UPPER PLATES, POWER 3 KW;CONTACT GRILL ELECTRIC - DUPLEX, GROOVED LOWER AND UPPER PLATES, POWER 3 KW;470;mm;445;mm;245;mm;16.5;Kg;995;;EUR;;instock;;;;;;simple;;working area;370x250 mm;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_video_CG6GGDUPLEX.mp4;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_CG6GGDUPLEX.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_2_CG6GGDUPLEX.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_3_CG6GGDUPLEX.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_datasheet_CG6GGDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_manual_CG6GGDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_technicalmanual_CG6GGDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_drawing_CG6GGDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue_CG6GGDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_photo_CG6GGDUPLEX.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_card_CG6GGDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_price.pdf
CKNFMCCG6SGDUPLEX;CG6SGDUPLEX;FIAMMA CATERING;CONTACT GRILL;CONTACT GRILL ELECTRIC - DUPLEX, SMOOTH LOWER PLATE AND GROOVED UPPER PLATE, POWER 3 KW;CONTACT GRILL ELECTRIC - DUPLEX, SMOOTH LOWER PLATE AND GROOVED UPPER PLATE, POWER 3 KW;470;mm;445;mm;245;mm;16.5;Kg;995;;EUR;;instock;;;;;;simple;;working area;370x250 mm;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_video_CG6SGDUPLEX.mp4;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_CG6SGDUPLEX.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_2_CG6SGDUPLEX.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_3_CG6SGDUPLEX.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_datasheet_CG6SGDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_manual_CG6SGDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_technicalmanual_CG6SGDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_drawing_CG6SGDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue_CG6SGDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_photo_CG6SGDUPLEX.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_card_CG6SGDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_price.pdf
CKNFMCCG6SSDUPLEX;CG6SSDUPLEX;FIAMMA CATERING;CONTACT GRILL;CONTACT GRILL ELECTRIC - DUPLEX SMOOTH, UPPER AND LOWER PLATES, POWER 3 KW;CONTACT GRILL ELECTRIC - DUPLEX SMOOTH, UPPER AND LOWER PLATES, POWER 3 KW;470;mm;445;mm;245;mm;16.5;Kg;995;;EUR;;instock;;;;;;simple;;working area;370x250 mm;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_video_CG6SSDUPLEX.mp4;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_CG6SSDUPLEX.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_2_CG6SSDUPLEX.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_3_CG6SSDUPLEX.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_datasheet_CG6SSDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_manual_CG6SSDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_technicalmanual_CG6SSDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_drawing_CG6SSDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue_CG6SSDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_photo_CG6SSDUPLEX.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_card_CG6SSDUPLEX.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_price.pdf
CKNFMCCG6GGVITRO;CG6GGVITRO;FIAMMA CATERING;CONTACT GRILL;CONTACT GRILL ELECTRIC - CERAMIC GLASS, GROOVED UPPER AND LOWER PLATE, POWER 3 KW;CONTACT GRILL ELECTRIC - CERAMIC GLASS, GROOVED UPPER AND LOWER PLATE, POWER 3 KW;470;mm;445;mm;245;mm;15.5;Kg;995;;EUR;;instock;;;;;;simple;;working area;340x220 mm;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_video_CG6GGVITRO.mp4;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_CG6GGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_2_CG6GGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_3_CG6GGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_datasheet_CG6GGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_manual_CG6GGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_technicalmanual_CG6GGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_drawing_CG6GGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue_CG6GGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_photo_CG6GGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_card_CG6GGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_price.pdf
CKNFMCCG6SGVITRO;CG6SGVITRO;FIAMMA CATERING;CONTACT GRILL;CONTACT GRILL ELECTRIC - CERAMIC GLASS, GROOVED UPPER AND LOWER PLATES, POWER 3KW;CONTACT GRILL ELECTRIC - CERAMIC GLASS, GROOVED UPPER AND LOWER PLATES, POWER 3KW;470;mm;445;mm;245;mm;15.5;Kg;995;;EUR;;instock;;;;;;simple;;working area;340x220 mm;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_video_CG6SGVITRO.mp4;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_CG6SGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_2_CG6SGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_3_CG6SGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_datasheet_CG6SGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_manual_CG6SGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_technicalmanual_CG6SGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_drawing_CG6SGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue_CG6SGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_photo_CG6SGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_card_CG6SGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_price.pdf
CKNFMCCG6SSVITRO;CG6SSVITRO;FIAMMA CATERING;CONTACT GRILL;CONTACT GRILL ELECTRIC - CERAMIC GLASS, SMOOTH LOWER AND UPPER PLATES, POWER 3 KW;CONTACT GRILL ELECTRIC - CERAMIC GLASS, SMOOTH LOWER AND UPPER PLATES, POWER 3 KW;470;mm;445;mm;245;mm;15.5;Kg;995;;EUR;;instock;;;;;;simple;;working area;340x220 mm;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_video_CG6SSVITRO.mp4;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_CG6SSVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_2_CG6SSVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_3_CG6SSVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_datasheet_CG6SSVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_manual_CG6SSVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_technicalmanual_CG6SSVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_drawing_CG6SSVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue_CG6SSVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_photo_CG6SSVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_card_CG6SSVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_price.pdf
CKNFMCCG8GGVITRO;CG8GGVITRO;FIAMMA CATERING;CONTACT GRILL;CONTACT GRILL ELECTRIC - CERAMIC GLASS, GROOVED LOWER AND UPPER PLATES, POWER 3.4 KW;CONTACT GRILL ELECTRIC - CERAMIC GLASS, GROOVED LOWER AND UPPER PLATES, POWER 3.4 KW;640;mm;445;mm;245;mm;23.7;Kg;1550;;EUR;;instock;;;;;;simple;;working area;2x (220x220) mm;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_video_CG8GGVITRO.mp4;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_CG8GGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_2_CG8GGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_3_CG8GGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_datasheet_CG8GGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_manual_CG8GGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_technicalmanual_CG8GGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_drawing_CG8GGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue_CG8GGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_photo_CG8GGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_card_CG8GGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_price.pdf
CKNFMCCG8SGVITRO;CG8SGVITRO;FIAMMA CATERING;CONTACT GRILL;CONTACT GRILL ELECTRIC - CERAMIC GLASS, SMOOTH LOWER PLATE AND GROOVED UPPER PLATE, POWER 3,4 KW;CONTACT GRILL ELECTRIC - CERAMIC GLASS, SMOOTH LOWER PLATE AND GROOVED UPPER PLATE, POWER 3,4 KW;640;mm;445;mm;245;mm;23.7;Kg;1550;;EUR;;instock;;;;;;simple;;working area;2x (220x220) mm;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_video_CG8SGVITRO.mp4;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_CG8SGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_2_CG8SGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_3_CG8SGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_datasheet_CG8SGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_manual_CG8SGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_technicalmanual_CG8SGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_drawing_CG8SGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue_CG8SGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_photo_CG8SGVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_card_CG8SGVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_price.pdf
CKNFMCCG8SSVITRO;CG8SSVITRO;FIAMMA CATERING;CONTACT GRILL;CONTACT GRILL ELECTRIC - CERAMIC GLASS, SMOOTH LOWER AND UPPER PLATE, POWER 3.4 KW;CONTACT GRILL ELECTRIC - CERAMIC GLASS, SMOOTH LOWER AND UPPER PLATE, POWER 3.4 KW;640;mm;445;mm;245;mm;23.7;Kg;1550;;EUR;;instock;;;;;;simple;;working area;2x (220x220) mm;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_video_CG8SSVITRO.mp4;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_CG8SSVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_2_CG8SSVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_3_CG8SSVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_datasheet_CG8SSVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_manual_CG8SSVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_technicalmanual_CG8SSVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_drawing_CG8SSVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue_CG8SSVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_photo_CG8SSVITRO.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_card_CG8SSVITRO.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_price.pdf
CKNFMCGR42;GR42;FIAMMA CATERING;CONTACT GRILL;CONTACT GRILL ELECTRIC - CAST IRON,GROOVED LOWER AND UPPER PLATES, POWER 1.8 KW;CONTACT GRILL ELECTRIC - CAST IRON,GROOVED LOWER AND UPPER PLATES, POWER 1.8 KW;400;mm;430;mm;240;mm;20;Kg;520;;EUR;;instock;;;;;;simple;;working area;255x245 mm;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_video_GR42.mp4;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_GR42.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_2_GR42.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_3_GR42.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_datasheet_GR42.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_manual_GR42.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_technicalmanual_GR42.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_drawing_GR42.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue_GR42.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_photo_GR42.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_card_GR42.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_price.pdf
CKNFMCGR41L;GR41L;FIAMMA CATERING;CONTACT GRILL;CONTACT GRILL ELECTRIC - CAST IRON, SMOOTH LOWER PLATE AND GROOVED UPPER PLATE, POWER 1.8 KW;CONTACT GRILL ELECTRIC - CAST IRON, SMOOTH LOWER PLATE AND GROOVED UPPER PLATE, POWER 1.8 KW;400;mm;430;mm;240;mm;20;Kg;520;;EUR;;instock;;;;;;simple;;working area;255x245 mm;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_video_GR41L.mp4;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_GR41L.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_2_GR41L.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_3_GR41L.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_datasheet_GR41L.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_manual_GR41L.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_technicalmanual_GR41L.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_drawing_GR41L.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue_GR41L.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_photo_GR41L.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_card_GR41L.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_price.pdf
CKNFMCGR41LTL;GR41LTL;FIAMMA CATERING;CONTACT GRILL;CONTACT GRILL ELECTRIC - CAST IRON, SMOOTH LOWER AND UPPER PLATE, POWER 1.8 KW;CONTACT GRILL ELECTRIC - CAST IRON, SMOOTH LOWER AND UPPER PLATE, POWER 1.8 KW;400;mm;430;mm;240;mm;20;Kg;520;;EUR;;instock;;;;;;simple;;working area;255x245 mm;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_video_GR41LTL.mp4;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_GR41LTL.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_2_GR41LTL.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_3_GR41LTL.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_datasheet_GR41LTL.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_manual_GR41LTL.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_technicalmanual_GR41LTL.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_drawing_GR41LTL.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue_GR41LTL.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_photo_GR41LTL.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_card_GR41LTL.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_price.pdf
CKNFMCGR61;GR61;FIAMMA CATERING;CONTACT GRILL;CONTACT GRILL ELECTRIC - CAST IRON, GROOVED LOWER AND UPPER PLATES, POWER 3 KW;CONTACT GRILL ELECTRIC - CAST IRON, GROOVED LOWER AND UPPER PLATES, POWER 3 KW;510;mm;430;mm;240;mm;28;Kg;595;;EUR;;instock;;;;;;simple;;working area;365x245 mm;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_video_GR61.mp4;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_GR61.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_2_GR61.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_3_GR61.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_datasheet_GR61.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_manual_GR61.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_technicalmanual_GR61.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_drawing_GR61.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue_GR61.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_photo_GR61.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_card_GR61.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_price.pdf
CKNFMCGR61L;GR61L;FIAMMA CATERING;CONTACT GRILL;CONTACT GRILL ELECTRIC - CAST IRON, SMOOTH LOWER PLATE AND GROOVED UPPER PLATE, POWER 3 KW;CONTACT GRILL ELECTRIC - CAST IRON, SMOOTH LOWER PLATE AND GROOVED UPPER PLATE, POWER 3 KW;510;mm;430;mm;240;mm;28;Kg;595;;EUR;;instock;;;;;;simple;;working area;365x245 mm;;;;;;;;;;;active;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_video_GR61L.mp4;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_GR61L.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_2_GR61L.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_image_3_GR61L.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_datasheet_GR61L.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_manual_GR61L.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_technicalmanual_GR61L.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_drawing_GR61L.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue_GR61L.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_photo_GR61L.jpg;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_card_GR61L.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_catalogue.pdf;https://raw.githubusercontent.com/cooknation/fiammacatering/refs/heads/main/fiammacatering_price.pdf
